ID рейса;ID автомобиля;ID водителя;Дата начала рейса;Дата окончания рейса;Расстояние; Стоимость  
1;606;2605;13.02.2023;23.04.2023;2168; 1 490 р. 
2;1528;459;03.06.2023;15.06.2023;2329; 6 937 р. 
3;2362;567;01.12.2022;01.01.2023;855; 1 427 р. 
4;951;1796;06.08.2023;24.09.2023;1516; 7 229 р. 
5;996;941;03.09.2022;16.11.2022;420; 3 768 р. 
6;1606;2334;03.04.2023;03.07.2023;999; 6 169 р. 
7;2759;1537;17.01.2023;26.03.2023;2986; 2 109 р. 
8;1761;2922;22.01.2023;22.02.2023;1647; 6 088 р. 
9;1875;1108;13.07.2023;17.09.2023;1822; 1 679 р. 
10;2156;374;12.05.2023;30.07.2023;1227; 6 675 р. 
11;325;1062;24.12.2022;27.01.2023;1158; 2 994 р. 
12;925;706;28.10.2022;04.01.2023;213; 2 123 р. 
13;2094;1147;22.09.2022;21.11.2022;2104; 9 637 р. 
14;1037;1847;26.11.2022;22.12.2022;2079; 5 986 р. 
15;2209;2226;07.10.2022;23.10.2022;2846; 465 р. 
16;2260;2118;06.10.2022;18.12.2022;1744; 8 315 р. 
17;1456;1074;16.05.2023;18.06.2023;2187; 8 891 р. 
18;243;79;02.08.2023;19.08.2023;2376; 7 245 р. 
19;540;1028;11.03.2023;22.03.2023;690; 5 699 р. 
20;511;2698;17.05.2023;28.05.2023;764; 1 528 р. 
21;123;2774;26.05.2023;08.08.2023;1963; 3 159 р. 
22;326;1399;04.09.2022;11.12.2022;2449; 9 315 р. 
23;1611;872;13.07.2023;03.08.2023;2296; 8 266 р. 
24;2041;2288;04.07.2023;15.09.2023;301; 2 782 р. 
25;993;2203;04.07.2023;25.09.2023;1430; 4 603 р. 
26;295;1605;28.05.2023;06.07.2023;2808; 220 р. 
27;2469;2782;16.08.2022;26.10.2022;2833; 9 340 р. 
28;2165;2035;30.08.2022;24.10.2022;1921; 857 р. 
29;2930;175;30.06.2023;03.09.2023;820; 1 461 р. 
30;1048;626;09.12.2022;01.02.2023;1503; 7 509 р. 
31;2073;677;13.07.2023;03.09.2023;2078; 9 328 р. 
32;1969;1040;28.07.2023;11.10.2023;13; 330 р. 
33;2149;1227;06.08.2023;08.11.2023;38; 4 609 р. 
34;934;2962;20.02.2023;06.03.2023;1916; 2 514 р. 
35;1117;2098;29.07.2023;01.11.2023;1741; 9 799 р. 
36;312;425;31.12.2022;28.03.2023;493; 4 980 р. 
37;242;2055;19.04.2023;17.07.2023;2634; 8 570 р. 
38;2181;878;22.07.2023;06.09.2023;2706; 9 445 р. 
39;1540;1772;21.07.2023;08.08.2023;2321; 6 607 р. 
40;467;2147;19.06.2023;11.08.2023;2867; 8 514 р. 
41;2097;462;27.06.2023;01.10.2023;2357; 3 125 р. 
42;1972;1887;15.11.2022;18.12.2022;1664; 2 727 р. 
43;891;2941;14.04.2023;27.06.2023;2255; 5 036 р. 
44;2867;233;15.10.2022;06.01.2023;1886; 310 р. 
45;2209;971;02.03.2023;12.03.2023;1148; 1 749 р. 
46;1775;1891;05.05.2023;10.06.2023;1833; 8 513 р. 
47;2947;818;10.01.2023;17.02.2023;1320; 2 182 р. 
48;1662;1822;16.07.2023;16.10.2023;2992; 3 633 р. 
49;858;108;09.06.2023;25.07.2023;2876; 3 233 р. 
50;2514;488;19.12.2022;25.03.2023;1120; 1 623 р. 
51;2595;2015;03.05.2023;08.08.2023;587; 9 605 р. 
